form	segmentation	root	note	source
dumalaga	d + -um- + alaga	alaga		demoted from roots.tsv: decomposes into a licensed affix plus another headword
dungan	dung + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
dungisan	dungis + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
dungusan	dungus + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
galanggangan	galanggang + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
galatgatan	galatgat + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
galun	galu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
gampanan	gampa + -nan	nan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
gawan	gawa + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
gilingan	giling + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ginawa	g + -in- + awa	awa		demoted from roots.tsv: decomposes into a licensed affix plus another headword
giniagis	g + -in- + iagis	iagis		demoted from roots.tsv: decomposes into a licensed affix plus another headword
gisan	gisa + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ibili	i- + bili	bili		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ibuklat	i- + buklat	buklat		demoted from roots.tsv: decomposes into a licensed affix plus another headword
igisa	i- + gisa	gisa		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ikami	i- + kami	kami		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ikapin	i- + kapin	kapin		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ikata	i- + kata	kata		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ikayu	i- + kayu	kayu		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ilako	i- + lako	lako		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ilitan	ilit + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ilutan	ilut + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
imala	i- + mala	mala		demoted from roots.tsv: decomposes into a licensed affix plus another headword
imalan	imala + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
inakit	in- + akit	akit		demoted from roots.tsv: decomposes into a licensed affix plus another headword
inanak	in- + anak	anak		demoted from roots.tsv: decomposes into a licensed affix plus another headword
inang	i- + nang	nang		demoted from roots.tsv: decomposes into a licensed affix plus another headword
inata	in- + ata	ata		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ingat	in- + gat	gat		demoted from roots.tsv: decomposes into a licensed affix plus another headword
iniang	i- + niang	niang		demoted from roots.tsv: decomposes into a licensed affix plus another headword
insayu	in- + sayu	sayu		demoted from roots.tsv: decomposes into a licensed affix plus another headword
intang	in- + tang	tang		demoted from roots.tsv: decomposes into a licensed affix plus another headword
inuyat	in- + uyat	uyat		demoted from roots.tsv: decomposes into a licensed affix plus another headword
inyan	i- + nyan	nyan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
inyawad	in- + yawad	yawad		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ipabukal	i- + pabukal	pabukal		demoted from roots.tsv: decomposes into a licensed affix plus another headword
