variant	canonical	note	source
almiris	almirez	original dictionary spelling	merged from candidate lexicon
almonan	almon	original dictionary spelling	merged from candidate lexicon
almusalan	almusal	original dictionary spelling	merged from candidate lexicon
along	pucnat	original dictionary spelling	merged from candidate lexicon
alpaca	alpaka	original dictionary spelling	merged from candidate lexicon
alua	al-lua	original dictionary spelling	merged from candidate lexicon
ambanğan	ambangan	original dictionary spelling	merged from candidate lexicon
ambiciun	ambisiun	original dictionary spelling	merged from candidate lexicon
ambrocio	ambrosio	original dictionary spelling	merged from candidate lexicon
ambuanğan	ambuangan	original dictionary spelling	merged from candidate lexicon
ambulancia	ambulansia	original dictionary spelling	merged from candidate lexicon
ambulá	ambula	original dictionary spelling	merged from candidate lexicon
ambuq	ambu	PALI orthography / attested surface form	annotated
ambá	amba	original dictionary spelling	merged from candidate lexicon
ambî	ambi	original dictionary spelling	merged from candidate lexicon
americana	amerikana	original dictionary spelling	merged from candidate lexicon
americanu	amerikanu	original dictionary spelling	merged from candidate lexicon
amo	amu	original dictionary spelling	merged from candidate lexicon
amorseco	amorseko	original dictionary spelling	merged from candidate lexicon
ampón	ampon	original dictionary spelling	merged from candidate lexicon
ampû	ampu	original dictionary spelling	merged from candidate lexicon
amung	among	original dictionary spelling	merged from candidate lexicon
amû	amu	original dictionary spelling	merged from candidate lexicon
anatis	atis	original dictionary spelling	merged from candidate lexicon
anaw	ano	original dictionary spelling	merged from candidate lexicon
ancla	ankora	original dictionary spelling	merged from candidate lexicon
ancora	ankora	original dictionary spelling	merged from candidate lexicon
andarul	andador	original dictionary spelling	merged from candidate lexicon
anejo	anyeho	original dictionary spelling	merged from candidate lexicon
ang-gî	ang-gi	original dictionary spelling	merged from candidate lexicon
angbe	ambe	original dictionary spelling	merged from candidate lexicon
angcac	angkac	original dictionary spelling	merged from candidate lexicon
angcas	angkas	original dictionary spelling	merged from candidate lexicon
angcat	angkat	original dictionary spelling	merged from candidate lexicon
angcup	angkup	original dictionary spelling	merged from candidate lexicon
anghel	angel	original dictionary spelling	merged from candidate lexicon
aniayâ	aniaya	original dictionary spelling	merged from candidate lexicon
aniu	anyu	original dictionary spelling	merged from candidate lexicon
antalâ	antala	original dictionary spelling	merged from candidate lexicon
antartico	antartiko	original dictionary spelling	merged from candidate lexicon
antemano	antimano	original dictionary spelling	merged from candidate lexicon
anticipo	antisipo	original dictionary spelling	merged from candidate lexicon
antigu	antiguo	original dictionary spelling	merged from candidate lexicon
antique	antike	original dictionary spelling	merged from candidate lexicon
antiséptico	antiseptiko	original dictionary spelling	merged from candidate lexicon
anunas	anonas	original dictionary spelling	merged from candidate lexicon
anyayâ	anyaya	original dictionary spelling	merged from candidate lexicon
anís	anis	original dictionary spelling	merged from candidate lexicon
anónima	anonima	original dictionary spelling	merged from candidate lexicon
anğut	angut	original dictionary spelling	merged from candidate lexicon
ap-piâ	ap-pia	original dictionary spelling	merged from candidate lexicon
apalyaq	apalya	PALI orthography / attested surface form	annotated
apalyá	apalya	original dictionary spelling	merged from candidate lexicon
aparadul	aparador	original dictionary spelling	merged from candidate lexicon
aparición	aparision	original dictionary spelling	merged from candidate lexicon
apog	ampog	original dictionary spelling	merged from candidate lexicon
aprobación	aprobasion	original dictionary spelling	merged from candidate lexicon
aprobetsa	aprovecha	original dictionary spelling	merged from candidate lexicon
apsá	apsa	original dictionary spelling	merged from candidate lexicon
apá	apa	original dictionary spelling	merged from candidate lexicon
apâ	apa	original dictionary spelling	merged from candidate lexicon
apéndice	apendise	original dictionary spelling	merged from candidate lexicon
arancel	aransel	original dictionary spelling	merged from candidate lexicon
arangcada	arangkada	original dictionary spelling	merged from candidate lexicon
arangcadahan	arangkadahan	original dictionary spelling	merged from candidate lexicon
araña	arana	original dictionary spelling	merged from candidate lexicon
arbul	albul	original dictionary spelling	merged from candidate lexicon
arcanghel	arkanghel	original dictionary spelling	merged from candidate lexicon
arcángel	arkangel	original dictionary spelling	merged from candidate lexicon
areca	areka	original dictionary spelling	merged from candidate lexicon
arkanghel	arkangel	original dictionary spelling	merged from candidate lexicon
arkidiocesis	arkidiosesis	original dictionary spelling	merged from candidate lexicon
armirul	almirul	original dictionary spelling	merged from candidate lexicon
arpa	harpa	original dictionary spelling	merged from candidate lexicon
artico	artiko	original dictionary spelling	merged from candidate lexicon
articulo	artikulo	original dictionary spelling	merged from candidate lexicon
artificial	artifisial	original dictionary spelling	merged from candidate lexicon
arán	aran	original dictionary spelling	merged from candidate lexicon
asa-asá	asa-asa	original dictionary spelling	merged from candidate lexicon
aserado	serado	original dictionary spelling	merged from candidate lexicon
asia	ac-cla	original dictionary spelling	merged from candidate lexicon
asnğa	asnga	original dictionary spelling	merged from candidate lexicon
asnğo	asngo	original dictionary spelling	merged from candidate lexicon
asociación	asosiasion	original dictionary spelling	merged from candidate lexicon
aspâ	aspa	original dictionary spelling	merged from candidate lexicon
astaca	astaka	original dictionary spelling	merged from candidate lexicon
asterisco	asterisko	original dictionary spelling	merged from candidate lexicon
astrólogo	astrologo	original dictionary spelling	merged from candidate lexicon
