surface,process,plain@6080,plain@8192,plain@16384,morphbpe@6080,morphbpe@8192,morphbpe@16384,penalty-1@6080,penalty-1@8192,penalty-1@16384,penalty-2@6080,penalty-2@8192,penalty-2@16384,penalty-4@6080,penalty-4@8192,penalty-4@16384,penalty-8@6080,penalty-8@8192,penalty-8@16384,stochastic-p4-d0.1@6080,stochastic-p4-d0.1@8192,stochastic-p4-d0.1@16384,stochastic-p4-d0.2@6080,stochastic-p4-d0.2@8192,stochastic-p4-d0.2@16384,unigram-ablation@6080,correct_segmentation,best_version,notes
sumulat,"(flagship, no ref gold)",sum+ulat,sum+ulat,sumulat,sum+ulat,sum+ulat,sum+ulat,s+um+ulat,s+um+ulat,s+um+ulat,s+um+ulat,s+um+ulat,s+um+ulat,s+um+ulat,s+um+ulat,s+um+ulat,su+mu+lat,sumu+lat,sumu+lat,su+mu+lat,su+mu+lat,sumu+lat,su+mu+lat,sumu+lat,sumu+lat,sumul+at,,,
misamban,"(flagship, no ref gold)",mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mi+sam+ban,mi+sam+ban,mi+sam+ban,mis+amban,mis+amban,mis+amban,mi+sam+ban,mi+sam+ban,mi+sam+ban,mi+samban,,,
kabukasan,"(flagship, no ref gold)",kab+u+kasan,kabu+kasan,kabukasan,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,,,
sinulat,infixation,sinulat,sinulat,sinulat,sin+ulat,sin+ulat,sin+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,sinu+lat,sinu+lat,sinu+lat,sinu+lat,sinu+lat,sinu+lat,sinulat,,,
magpakalma,"(flagship, no ref gold)",mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,magpa+kal+ma,magpa+kalma,magpa+kalma,magpa+kal+ma,magpa+kalma,magpa+kalma,magpa+kal+ma,magpa+kalma,magpa+kalma,magpa+kal+ma,magpa+kalma,magpa+kalma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,magpa+kal+ma,,,
mekipagapir,"(flagship, no ref gold)",mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,meki+pag+ap+ir,meki+pag+ap+ir,meki+pag+ap+ir,meki+pag+ap+ir,meki+pag+ap+ir,meki+pag+ap+ir,meki+paga+pi+r,meki+paga+pir,meki+paga+pir,meki+paga+pir,meki+paga+pir,meki+paga+pir,meki+paga+pi+r,meki+paga+pi+r,meki+paga+pir,meki+pag+api+r,,,
tinuki,infixation,tinuki,tinuki,tinuki,tin+uki,tin+uki,tin+uki,t+in+uki,t+in+uki,t+in+uki,t+in+uki,t+in+uki,t+in+uki,tinu+ki,tinu+ki,tinu+ki,t+in+uki,t+in+uki,t+in+uki,t+inu+ki,t+inu+ki,t+inu+ki,t+inu+ki,t+inu+ki,t+inu+ki,tinuki,,,
pemalagyu,"(flagship, no ref gold)",pem+alag+yu,pem+alag+yu,pem+alagyu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pe+ma+lagyu,pe+ma+lagyu,pema+lagyu,pe+ma+lagyu,pe+ma+lagyu,pema+lagyu,pe+ma+lagyu,pe+ma+lagyu,pe+ma+lagyu,pe+ma+lagyu,,,
