entry_id,kapampangan_word,kapampangan_word_normalized,english_gloss_short,english_gloss_raw,original_word,variants_original,variants_normalized,source_name,source_url,dataset_role,quality_tier,validation_status,notes
local_951095b26625,ASIC,asic,"Noun, the sowing, seed-time of the Carayuman (all varieties of palay, except the lacatan, See Carayom, vqs)","Noun, the sowing, seed-time of the Carayuman (all varieties of palay, except the lacatan, See Carayom, vqs). Active verb and its infinitive, masic, manasic, to sow on such season. P. 1. the seed /grain. P. 3, the place.",,manasic; masic,manasic; masic,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_1d59a7df740c,ASIN,asin,"Noun, Salt","Noun, Salt. Active verb and its infinitive, masin, manasin, to salt. P. 1. the salt itself. Miasin, to put salt on food. Miasinca, salt your food. Palyasinan, the container for salt.",,manasin; masin; miasin; miasinca; palyasinan,manasin; masin; miasin; miasinka; palyasinan,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_774efc3354f8,ASKAD,askad,N,"N. S. noun, (sic). Neutral verb, Sascad, singcad, suncad, to lay out, or expose a thing under the sun, for shrinking. Mi, neutral, to lay it out, for shrinking. Macascad, laid out under the sun, including a man stretching himself on his back. P. 1. Iyayascad, yascad, inascad, iscad, a man placing his body thus, by bending backwards, like a showman or puppet-player/ or an acrobat. Ascad ascad, those gestures made by a man being whipped, as he cries out, Jesus po, Jesus po.",ASCAD,inascad; iscad; iyayascad; macascad; miascad; sascad; singcad; suncad; yascad,inaskad; iskad; iyayaskad; makaskad; miaskad; saskad; singkad; sunkad; yaskad,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_be4e16235055,ASKAL,askal,R,"R. m. Mi, with a companion, Misascal, miascal, miscal, to quarrel, to contend with, to argue with obstinately; Maqui, the one quarreling. Cayascal, the one with whom he is quarreling. Pisascalan, piscalan, 3. the subject of the quarrel, the thing about which they quarrel. Paquiscalan, with whom, or about what.",ASCAL,cayascal; maquiascal; miascal; misascal; miscal; paquiscalan; pisascalan; piscalan,kayaskal; makyaskal; miaskal; misaskal; miskal; pakiskalan; pisaskalan; piskalan,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_fd8bb714112a,ASKE,aske,"Active verb and its infinitive, mascay, to take after the manners of another","Active verb and its infinitive, mascay, to take after the manners of another. P. 3. the one mimicked. Mi, with company, two of the same manners / gesticulations, as in preaching, speaking, walking, laughing. Cayascay, the counterpart, or companion. Maqui, like the same, taking after the manner of another.",ASCAY,cayascay; maquiascay; mascay,kayaske; makyaske; maske,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_335b6b18b698,ASKOP,askop,R,"R. m. Cascop, narrowness. Mascop, narrow or tight, v. g. a place or a dress. Neutral verb, Cacascop, quinascop, cumascop, or, masascop, miscop, mascop, or, Sascop, sincop, suncop become tight, or constricted / hemmed in; enacaman, suncop queni, you will not feel hemmed in here / you will not be crowded by others here, there is plenty of space for you; mascopna cami, we are already overcrowded here / there is not enough space for more. P. 1. that which becomes narrow / crowded / tight; P. 3. the place, the people, or the dress. Pangascop, cascupan, abstract. Also by adding lub, to all its variations, to be harassed, or burdened by sorrow or grief.",ASCOP,cacascop; cascop; cascupan; cumascop; enacaman; masascop; mascop; mascopna; miscop; pangascop; quinascop; sascop; sincop; suncop,enakaman; kakaskop; kaskop; kaskupan; kinaskop; kumaskop; masaskop; maskop; maskopna; miskop; pangaskop; saskop; sinkop; sunkop,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_f11a81ab5c50,ASLAG,aslag,"Noun, ray of light, like that of the sun, candle, daylight","Noun, ray of light, like that of the sun, candle, daylight. Neutral verb, Saslag, sinlag, sunlag, to shine, to dawn. Maslag / mayaslag, shiny, shining brightly. P. 3. Aslagan, inaslagan, iyayaslagan, the place basking in / bathed by the rays of the sun. Caslagan, quislagan, the person, v. g. Quislagan aldao carin Betis, caught up by the sunlight in Betis. Miyayaslagan, mislagan, miaslagan: Mi with an, one exposed to sunlight. or one on whom the rays of the sun fall, Maquislag quing aldao, shining or become shiny with the sun, like crystalines that reflect the brilliance of the sun, also said of the palay close to its maturation, which appear to be shining bright under the sunlight,. Aslaganing aldao, the east.",,aslagan; aslaganing; caslagan; inaslagan; iyayaslagan; maquislag; maslag; mayaslag; miaslagan; mislagan; miyayaslagan; quislagan; saslag; sinlag; sunlag,aslagan; aslaganing; inaslagan; iyayaslagan; kaslagan; kislagan; makislag; maslag; mayaslag; miaslagan; mislagan; miyayaslagan; saslag; sinlag; sunlag,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_90fa28576f6b,ASLAK,aslak,"Rings under the eyes (eyebags), as caused by illness or lack of sleep (insomnia","Rings under the eyes (eyebags), as caused by illness or lack of sleep (insomnia. Verb, Mangaslac, mengaslac, to have eyebags / sunken eyes. Pangaslac, the fact of having eyebags.",ASLAC,mangaslac; mengaslac; pangaslac,mangaslak; mengaslak; pangaslak,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_e6a83ad75fa2,ASLAM,aslam,"Noun, vinegar","Noun, vinegar. Active verb and its infinitive, manaslam, to produce vinegar. P. 1. the vinegar. P. 3. out of what. Maslam a lupa, sour- faced. Also, Neutral verb, Masaslam quislam, maslam, or, saslam, sinlam, sunlam, or, ca(ca)slam, quinaslam, cumaslam, to become sour, to become acid. P. 1. Icacaslam, quislam, icaslam, the motive; Cacaslaman, quislaman, caslamanan, too sour to the taste, v. g. Aconquislaman, quislamanco, become too acid /sour to me, too sour for me; miaslam ca, use vinegar, like miranumca, use water.",,aconquislaman; cacaslam; cacaslaman; caslamanan; cumaslam; icacaslam; icaslam; manaslam; masaslam; maslam; miaslam; quinaslam; quislam; quislaman; quislamanco; saslam; sinlam; sunlam,akonkislaman; ikakaslam; ikaslam; kakaslam; kakaslaman; kaslamanan; kinaslam; kislam; kislaman; kislamanko; kumaslam; manaslam; masaslam; maslam; miaslam; saslam; sinlam; sunlam,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_3304daf9c0a2,ASLAT,aslat,"Noun, Crevice, crack, hole, narrow passage","Noun, Crevice, crack, hole, narrow passage. Neutral verb, regular, saslat, sinlat, sunlat, to insert oneself or come out through a narrow way; P. 1. that which is inserted or drawn out thus, regular, isaslat, sinlat, islat. P. 3. regular, saslatan sinlatan, the place through which; idiomatically, it is said of one who enters a narrow passage or passes through / 'inserts himself' among others. Miyayaslat, misaslat, mislat, insert oneself in a line or row / crowd, like one who arrives for confession and inserts himself in the line of penitents; maquislat, the one insering himself among many; Caslat, his companion. And from this, those who attempt or pretend to be the first in line, overtaking those who had come ahead, Piyayaslatan, piaslatan, the one overtaken. Piaslatan, the place; verb is transitive. And through this, it is also said, what the examples shall show: You have been told to do something and before you could finish it, it is interrupted by another chore, the work that was inserted is Paslat, paslat : if you scold someone whom you have called but has tarried in coming, and he answers, 'I had to do something else', you shall say, 'E yata pepaslat mopa ing dapat mo quetang yaus co?' So you preferred to 'insert' what you were doing rather than attending to my call?",,caslat; isaslat; islat; maquislat; misaslat; mislat; miyayaslat; paslat; piaslatan; piyayaslatan; saslat; saslatan; sinlat; sinlatan; sunlat,isaslat; islat; kaslat; makislat; misaslat; mislat; miyayaslat; paslat; piaslatan; piyayaslatan; saslat; saslatan; sinlat; sinlatan; sunlat,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_7d1f796dd8c0,ASLUT,aslut,"Miyayaslut, mislut, miaslut","Miyayaslut, mislut, miaslut. Mi, neutral, to cause to enter, or to come out in the manner of Aslat.; mi, with company, and Maqui, synonymous to aslat. P. 1. regular, that which. P. 3. the place.",,miaslut; mislut; miyayaslut,miaslut; mislut; miyayaslut,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_a587bac8edc7,ASNA,asna,"Noun,(sic), (Adjective, filled / full, vqs)","Noun,(sic), (Adjective, filled / full, vqs). Macasna, misna, masna, verb infinitive, Mangasna, mengasna or, Cacasna, quinasna, cumasna,to become full of or loaded, like a boat from the Philippines, or a charcoal man, his face becoming full of soot, full of stains, or the habit full of mud. Icacasna, quisna, icasna, that with which, cargo / load. P. 3. Cacasnan, quisnan, casnan, the place, like the ship. Casna, Noun, this kind of fullness.",,cacasna; cacasnan; casna; casnan; cumasna; icacasna; icasna; macasna; mangasna; masna; mengasna; misna; quinasna; quisna; quisnan,ikakasna; ikasna; kakasna; kakasnan; kasna; kasnan; kinasna; kisna; kisnan; kumasna; makasna; mangasna; masna; mengasna; misna,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
